STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
FOL,D,76,INFLOW,19900101 0000,19900101 0000,1240, ,CFS
FOL,D,76,INFLOW,19900102 0000,19900102 0000,1370, ,CFS
FOL,D,76,INFLOW,19900103 0000,19900103 0000,1253, ,CFS
FOL,D,76,INFLOW,19900104 0000,19900104 0000,1808, ,CFS
FOL,D,76,INFLOW,19900105 0000,19900105 0000,1044, ,CFS
FOL,D,76,INFLOW,19900106 0000,19900106 0000,1170, ,CFS
FOL,D,76,INFLOW,19900107 0000,19900107 0000,1730, ,CFS
FOL,D,76,INFLOW,19900108 0000,19900108 0000,3563, ,CFS
FOL,D,76,INFLOW,19900109 0000,19900109 0000,3147, ,CFS
FOL,D,76,INFLOW,19900110 0000,19900110 0000,2197, ,CFS
FOL,D,76,INFLOW,19900111 0000,19900111 0000,1441, ,CFS
FOL,D,76,INFLOW,19900112 0000,19900112 0000,1802, ,CFS
FOL,D,76,INFLOW,19900113 0000,19900113 0000,2660, ,CFS
FOL,D,76,INFLOW,19900114 0000,19900114 0000,3595, ,CFS
FOL,D,76,INFLOW,19900115 0000,19900115 0000,3139, ,CFS
FOL,D,76,INFLOW,19900116 0000,19900116 0000,2756, ,CFS
FOL,D,76,INFLOW,19900117 0000,19900117 0000,2504, ,CFS
FOL,D,76,INFLOW,19900118 0000,19900118 0000,2030, ,CFS
FOL,D,76,INFLOW,19900119 0000,19900119 0000,1742, ,CFS
FOL,D,76,INFLOW,19900120 0000,19900120 0000,1572, ,CFS
FOL,D,76,INFLOW,19900121 0000,19900121 0000,1581, ,CFS
FOL,D,76,INFLOW,19900122 0000,19900122 0000,1492, ,CFS
FOL,D,76,INFLOW,19900123 0000,19900123 0000,1320, ,CFS
FOL,D,76,INFLOW,19900124 0000,19900124 0000,1648, ,CFS
FOL,D,76,INFLOW,19900125 0000,19900125 0000,1550, ,CFS
FOL,D,76,INFLOW,19900126 0000,19900126 0000,1401, ,CFS
FOL,D,76,INFLOW,19900127 0000,19900127 0000,1254, ,CFS
FOL,D,76,INFLOW,19900128 0000,19900128 0000,1004, ,CFS
FOL,D,76,INFLOW,19900129 0000,19900129 0000,1074, ,CFS
FOL,D,76,INFLOW,19900130 0000,19900130 0000,1273, ,CFS
FOL,D,76,INFLOW,19900131 0000,19900131 0000,1876, ,CFS
FOL,D,76,INFLOW,19900201 0000,19900201 0000,2080, ,CFS
FOL,D,76,INFLOW,19900202 0000,19900202 0000,1665, ,CFS
FOL,D,76,INFLOW,19900203 0000,19900203 0000,1793, ,CFS
FOL,D,76,INFLOW,19900204 0000,19900204 0000,2668, ,CFS
FOL,D,76,INFLOW,19900205 0000,19900205 0000,1796, ,CFS
FOL,D,76,INFLOW,19900206 0000,19900206 0000,2418, ,CFS
FOL,D,76,INFLOW,19900207 0000,19900207 0000,1739, ,CFS
FOL,D,76,INFLOW,19900208 0000,19900208 0000,2609, ,CFS
FOL,D,76,INFLOW,19900209 0000,19900209 0000,1486, ,CFS
FOL,D,76,INFLOW,19900210 0000,19900210 0000,1103, ,CFS
FOL,D,76,INFLOW,19900211 0000,19900211 0000,1422, ,CFS
FOL,D,76,INFLOW,19900212 0000,19900212 0000,1647, ,CFS
FOL,D,76,INFLOW,19900213 0000,19900213 0000,1866, ,CFS
FOL,D,76,INFLOW,19900214 0000,19900214 0000,1845, ,CFS
FOL,D,76,INFLOW,19900215 0000,19900215 0000,1281, ,CFS
FOL,D,76,INFLOW,19900216 0000,19900216 0000,3332, ,CFS
FOL,D,76,INFLOW,19900217 0000,19900217 0000,2075, ,CFS
FOL,D,76,INFLOW,19900218 0000,19900218 0000,1783, ,CFS
FOL,D,76,INFLOW,19900219 0000,19900219 0000,1535, ,CFS
FOL,D,76,INFLOW,19900220 0000,19900220 0000,1484, ,CFS
FOL,D,76,INFLOW,19900221 0000,19900221 0000,1243, ,CFS
FOL,D,76,INFLOW,19900222 0000,19900222 0000,2650, ,CFS
FOL,D,76,INFLOW,19900223 0000,19900223 0000,2337, ,CFS
FOL,D,76,INFLOW,19900224 0000,19900224 0000,2153, ,CFS
FOL,D,76,INFLOW,19900225 0000,19900225 0000,2655, ,CFS
FOL,D,76,INFLOW,19900226 0000,19900226 0000,2920, ,CFS
FOL,D,76,INFLOW,19900227 0000,19900227 0000,3006, ,CFS
FOL,D,76,INFLOW,19900228 0000,19900228 0000,2512, ,CFS
FOL,D,76,INFLOW,19900301 0000,19900301 0000,2598, ,CFS
FOL,D,76,INFLOW,19900302 0000,19900302 0000,2847, ,CFS
FOL,D,76,INFLOW,19900303 0000,19900303 0000,5226, ,CFS
FOL,D,76,INFLOW,19900304 0000,19900304 0000,5403, ,CFS
FOL,D,76,INFLOW,19900305 0000,19900305 0000,4831, ,CFS
FOL,D,76,INFLOW,19900306 0000,19900306 0000,3566, ,CFS
FOL,D,76,INFLOW,19900307 0000,19900307 0000,3241, ,CFS
FOL,D,76,INFLOW,19900308 0000,19900308 0000,3067, ,CFS
FOL,D,76,INFLOW,19900309 0000,19900309 0000,2568, ,CFS
FOL,D,76,INFLOW,19900310 0000,19900310 0000,3260, ,CFS
FOL,D,76,INFLOW,19900311 0000,19900311 0000,3724, ,CFS
FOL,D,76,INFLOW,19900312 0000,19900312 0000,3359, ,CFS
FOL,D,76,INFLOW,19900313 0000,19900313 0000,2473, ,CFS
FOL,D,76,INFLOW,19900314 0000,19900314 0000,2570, ,CFS
FOL,D,76,INFLOW,19900315 0000,19900315 0000,2504, ,CFS
FOL,D,76,INFLOW,19900316 0000,19900316 0000,2411, ,CFS
FOL,D,76,INFLOW,19900317 0000,19900317 0000,2366, ,CFS
FOL,D,76,INFLOW,19900318 0000,19900318 0000,2666, ,CFS
FOL,D,76,INFLOW,19900319 0000,19900319 0000,2772, ,CFS
FOL,D,76,INFLOW,19900320 0000,19900320 0000,3196, ,CFS
FOL,D,76,INFLOW,19900321 0000,19900321 0000,3056, ,CFS
FOL,D,76,INFLOW,19900322 0000,19900322 0000,3280, ,CFS
FOL,D,76,INFLOW,19900323 0000,19900323 0000,3255, ,CFS
FOL,D,76,INFLOW,19900324 0000,19900324 0000,3130, ,CFS
FOL,D,76,INFLOW,19900325 0000,19900325 0000,3286, ,CFS
FOL,D,76,INFLOW,19900326 0000,19900326 0000,3101, ,CFS
FOL,D,76,INFLOW,19900327 0000,19900327 0000,3144, ,CFS
FOL,D,76,INFLOW,19900328 0000,19900328 0000,2977, ,CFS
FOL,D,76,INFLOW,19900329 0000,19900329 0000,2835, ,CFS
FOL,D,76,INFLOW,19900330 0000,19900330 0000,2631, ,CFS
FOL,D,76,INFLOW,19900331 0000,19900331 0000,2609, ,CFS
FOL,D,76,INFLOW,19900401 0000,19900401 0000,2380, ,CFS
FOL,D,76,INFLOW,19900402 0000,19900402 0000,2561, ,CFS
FOL,D,76,INFLOW,19900403 0000,19900403 0000,2624, ,CFS
