STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
FOL,D,23,OUTFLOW,19870105 0000,19870105 0100,1122,,CFS
FOL,D,23,OUTFLOW,19870106 0000,19870106 0100,722,,CFS
FOL,D,23,OUTFLOW,19870107 0000,19870107 0100,1159,,CFS
FOL,D,23,OUTFLOW,19870426 0000,19870426 0000,1155,,CFS
FOL,D,23,OUTFLOW,19870427 0000,19870426 0100,1155,,CFS
FOL,D,23,OUTFLOW,19870616 0000,19870616 0000,1647,,CFS
FOL,D,23,OUTFLOW,19870617 0000,19870616 0100,1647,,CFS
FOL,D,23,OUTFLOW,19870618 0000,19870617 0100,1662,,CFS
FOL,D,23,OUTFLOW,19870620 0000,19870620 0000,1422,,CFS
FOL,D,23,OUTFLOW,19870621 0000,19870620 0100,1422,,CFS
FOL,D,23,OUTFLOW,19870622 0000,19870621 0100,1460,,CFS
FOL,D,23,OUTFLOW,19870623 0000,19870622 0100,1383,,CFS
FOL,D,23,OUTFLOW,19870624 0000,19870624 0000,1251,,CFS
FOL,D,23,OUTFLOW,19870625 0000,19870624 0100,1251,,CFS
FOL,D,23,OUTFLOW,19870627 0000,19870627 0000,1503,,CFS
FOL,D,23,OUTFLOW,19870628 0000,19870627 0100,1503,,CFS
FOL,D,23,OUTFLOW,19870629 0000,19870628 0100,2068,,CFS
FOL,D,23,OUTFLOW,19870630 0000,19870629 0100,2730,,CFS
FOL,D,23,OUTFLOW,19870701 0000,19870630 0100,3276,,CFS
FOL,D,23,OUTFLOW,19870702 0000,19870701 0100,3237,,CFS
FOL,D,23,OUTFLOW,19870704 0000,19870704 0000,3258,,CFS
FOL,D,23,OUTFLOW,19870705 0000,19870704 0100,3258,,CFS
FOL,D,23,OUTFLOW,19870706 0000,19870705 0100,3642,,CFS
FOL,D,23,OUTFLOW,19870707 0000,19870706 0100,3675,,CFS
FOL,D,23,OUTFLOW,19870708 0000,19870707 0100,3246,,CFS
FOL,D,23,OUTFLOW,19870709 0000,19870708 0100,3264,,CFS
FOL,D,23,OUTFLOW,19870710 0000,19870709 0100,3264,,CFS
FOL,D,23,OUTFLOW,19870711 0000,19870711 0000,3152,,CFS
FOL,D,23,OUTFLOW,19870712 0000,19870711 0100,3152,,CFS
FOL,D,23,OUTFLOW,19870713 0000,19870712 0100,3157,,CFS
FOL,D,23,OUTFLOW,19870714 0000,19870713 0100,3203,,CFS
FOL,D,23,OUTFLOW,19870715 0000,19870714 0100,2847,,CFS
FOL,D,23,OUTFLOW,19870716 0000,19870715 0100,2770,,CFS
FOL,D,23,OUTFLOW,19870718 0000,19870718 0000,2635,,CFS
FOL,D,23,OUTFLOW,19870719 0000,19870718 0100,2635,,CFS
FOL,D,23,OUTFLOW,19870720 0000,19870719 0100,2717,,CFS
FOL,D,23,OUTFLOW,19870721 0000,19870720 0100,2712,,CFS
FOL,D,23,OUTFLOW,19870722 0000,19870721 0100,2568,,CFS
FOL,D,23,OUTFLOW,19870723 0000,19870722 0100,2637,,CFS
FOL,D,23,OUTFLOW,19870725 0000,19870725 0000,2775,,CFS
FOL,D,23,OUTFLOW,19870726 0000,19870725 0100,2775,,CFS
FOL,D,23,OUTFLOW,19870727 0000,19870726 0100,2638,,CFS
FOL,D,23,OUTFLOW,19870728 0000,19870727 0100,2164,,CFS
FOL,D,23,OUTFLOW,19870729 0000,19870728 0100,2221,,CFS
FOL,D,23,OUTFLOW,19870730 0000,19870729 0100,2241,,CFS
FOL,D,23,OUTFLOW,19870801 0000,19870801 0000,2126,,CFS
FOL,D,23,OUTFLOW,19870802 0000,19870801 0100,2126,,CFS
FOL,D,23,OUTFLOW,19870803 0000,19870802 0100,2161,,CFS
FOL,D,23,OUTFLOW,19870804 0000,19870803 0100,2193,,CFS
FOL,D,23,OUTFLOW,19870805 0000,19870804 0100,2749,,CFS
FOL,D,23,OUTFLOW,19870806 0000,19870805 0100,2717,,CFS
FOL,D,23,OUTFLOW,19870808 0000,19870808 0000,2609,,CFS
FOL,D,23,OUTFLOW,19870809 0000,19870808 0100,2609,,CFS
FOL,D,23,OUTFLOW,19870810 0000,19870809 0100,2602,,CFS
FOL,D,23,OUTFLOW,19870811 0000,19870810 0100,2732,,CFS
FOL,D,23,OUTFLOW,19870812 0000,19870811 0100,2622,,CFS
FOL,D,23,OUTFLOW,19870813 0000,19870812 0100,2763,,CFS
FOL,D,23,OUTFLOW,19870815 0000,19870815 0000,3156,,CFS
FOL,D,23,OUTFLOW,19870816 0000,19870815 0100,3156,,CFS
FOL,D,23,OUTFLOW,19870817 0000,19870816 0100,2877,,CFS
FOL,D,23,OUTFLOW,19870818 0000,19870817 0100,3230,,CFS
FOL,D,23,OUTFLOW,19870819 0000,19870818 0100,2788,,CFS
FOL,D,23,OUTFLOW,19870820 0000,19870819 0100,2555,,CFS
FOL,D,23,OUTFLOW,19870822 0000,19870822 0000,2176,,CFS
FOL,D,23,OUTFLOW,19870823 0000,19870822 0100,2176,,CFS
FOL,D,23,OUTFLOW,19870824 0000,19870823 0100,2274,,CFS
FOL,D,23,OUTFLOW,19870825 0000,19870824 0100,1587,,CFS
FOL,D,23,OUTFLOW,19870826 0000,19870825 0100,1702,,CFS
FOL,D,23,OUTFLOW,19870827 0000,19870826 0100,1732,,CFS
FOL,D,23,OUTFLOW,19870829 0000,19870829 0000,2173,,CFS
FOL,D,23,OUTFLOW,19870830 0000,19870829 0100,2173,,CFS
FOL,D,23,OUTFLOW,19870831 0000,19870830 0100,2164,,CFS
FOL,D,23,OUTFLOW,19870901 0000,19870831 0100,2176,,CFS
FOL,D,23,OUTFLOW,19870902 0000,19870901 0100,2252,,CFS
FOL,D,23,OUTFLOW,19870903 0000,19870902 0100,1735,,CFS
FOL,D,23,OUTFLOW,19870906 0000,19870906 0000,1742,,CFS
FOL,D,23,OUTFLOW,19870907 0000,19870906 0100,1742,,CFS
FOL,D,23,OUTFLOW,19870908 0000,19870907 0100,1712,,CFS
FOL,D,23,OUTFLOW,19870909 0000,19870908 0100,1657,,CFS
FOL,D,23,OUTFLOW,19870910 0000,19870909 0100,1741,,CFS
FOL,D,23,OUTFLOW,19870912 0000,19870912 0000,1933,,CFS
FOL,D,23,OUTFLOW,19870913 0000,19870912 0100,1933,,CFS
FOL,D,23,OUTFLOW,19870914 0000,19870913 0100,2142,,CFS
FOL,D,23,OUTFLOW,19870915 0000,19870914 0100,2013,,CFS
FOL,D,23,OUTFLOW,19870916 0000,19870915 0100,1784,,CFS
FOL,D,23,OUTFLOW,19870917 0000,19870916 0100,1786,,CFS
FOL,D,23,OUTFLOW,19870919 0000,19870919 0000,999,,CFS
FOL,D,23,OUTFLOW,19870920 0000,19870919 0100,999,,CFS
FOL,D,23,OUTFLOW,19870921 0000,19870920 0100,2194,,CFS
FOL,D,23,OUTFLOW,19870922 0000,19870921 0100,2670,,CFS
FOL,D,23,OUTFLOW,19870923 0000,19870922 0100,3760,,CFS
FOL,D,23,OUTFLOW,19870924 0000,19870923 0100,3742,,CFS
FOL,D,23,OUTFLOW,19870926 0000,19870926 0000,3544,,CFS
FOL,D,23,OUTFLOW,19870927 0000,19870926 0100,3544,,CFS
FOL,D,23,OUTFLOW,19870928 0000,19870927 0100,3733,,CFS
FOL,D,23,OUTFLOW,19870929 0000,19870928 0100,3398,,CFS
FOL,D,23,OUTFLOW,19870930 0000,19870929 0100,3181,,CFS
FOL,D,23,OUTFLOW,19871001 0000,19870930 0100,3198,,CFS
FOL,D,23,OUTFLOW,19871003 0000,19871003 0000,3191,,CFS
FOL,D,23,OUTFLOW,19871004 0000,19871003 0100,3191,,CFS
FOL,D,23,OUTFLOW,19871005 0000,19871004 0100,3275,,CFS
FOL,D,23,OUTFLOW,19871006 0000,19871005 0100,3003,,CFS
FOL,D,23,OUTFLOW,19871007 0000,19871006 0100,3238,,CFS
FOL,D,23,OUTFLOW,19871008 0000,19871007 0100,3206,,CFS
FOL,D,23,OUTFLOW,19871011 0000,19871011 0000,3166,,CFS
FOL,D,23,OUTFLOW,19871012 0000,19871011 0100,3166,,CFS
FOL,D,23,OUTFLOW,19871013 0000,19871012 0100,3143,,CFS
FOL,D,23,OUTFLOW,19871014 0000,19871013 0100,2205,,CFS
FOL,D,23,OUTFLOW,19871015 0000,19871014 0100,1711,,CFS
FOL,D,23,OUTFLOW,19871016 0000,19871016 0000,2630,,CFS
FOL,D,23,OUTFLOW,19871017 0000,19871016 0100,2630,,CFS
FOL,D,23,OUTFLOW,19871018 0000,19871017 0100,2643,,CFS
FOL,D,23,OUTFLOW,19871019 0000,19871018 0100,2701,,CFS
FOL,D,23,OUTFLOW,19871020 0000,19871019 0100,2550,,CFS
FOL,D,23,OUTFLOW,19871021 0000,19871020 0100,2111,,CFS
FOL,D,23,OUTFLOW,19871022 0000,19871021 0100,2204,,CFS
FOL,D,23,OUTFLOW,19871024 0000,19871024 0000,1319,,CFS
FOL,D,23,OUTFLOW,19871025 0000,19871025 0100,1335,,CFS
FOL,D,23,OUTFLOW,19871026 0000,19871026 0100,1457,,CFS
FOL,D,23,OUTFLOW,19871027 0000,19871027 0100,1289,,CFS
FOL,D,23,OUTFLOW,19871028 0000,19871028 0100,1305,,CFS
FOL,D,23,OUTFLOW,19871031 0000,19871031 0100,2609,,CFS
FOL,D,23,OUTFLOW,19871101 0000,19871101 0100,1350,,CFS
