#  Placer County, California Precipitation
# Units: Inches
Date,Value
202001,3.79
202002,0.13
202003,6.63
202004,3.52
202005,2.5
202006,0.27
202007,0.06
202008,0.07
202009,0.01
202010,0.02
202011,4.11
202012,3.84
202101,5.65
202102,3.6
202103,3.45
202104,0.59
202105,0.51
202106,0.05
202107,0.09
202108,0.03
202109,0.57
202110,12.55
202111,2.01
202112,15.24
202201,0.68
202202,0.69
202203,1.41
202204,5.8
202205,0.67
202206,1.02
202207,0.01
202208,0.24
202209,1.54
202210,0.09
202211,4.2
202212,19.22
202301,15.74
202302,7.4
202303,14.53
202304,1.07
202305,2.23
202306,0.86
202307,0.01
202308,0.7
202309,1.04
202310,1.34
202311,3.1
202312,4.71
202401,7.95
202402,10.24
202403,9.11
202404,1.74
202405,1.84
202406,0.01
202407,0.11
202408,0.45
202409,0.24
202410,0.92
202411,7.76
202412,8.05
202501,1.79
202502,12.53
202503,8.2
202504,2.23
202505,0.63
202506,0.13
202507,0.09
202508,0.32
202509,0.48
202510,3.61
202511,6.5
202512,12.13
