"DATE","STORAGE AF","","LK EVAP AF","","DC PUMP CFS",""
"04/2021","359,049","","2,636","","3,947",""
"05/2021","361,000","","4,122","","5,302",""
"06/2021","288,402","","4,388","","5,565",""
"07/2021","243,824","","3,675","","6,009",""
"08/2021","233,573","","2,836","","5,422",""
"09/2021","229,541","","2,531","","2,800",""
"10/2021","316,319","","1,371","","1,169",""
"11/2021","357,324","","482","","1,256",""
"12/2021","587,617","","317","","506",""
"01/2022","532,925","","881","","1,257",""
"02/2022","525,949","","1,783","","1,801",""
"03/2022","584,055","","2,017","","2,367",""
"04/2022","768,402","","2,634","","3,041",""
"05/2022","864,790","","5,849","","4,753",""
"06/2022","806,973","","6,234","","5,600",""
"07/2022","591,204","","6,589","","5,782",""
"08/2022","441,700","","5,098","","5,722",""
"09/2022","345,359","","3,441","","4,747","r"
"10/2022","289,016","","2,077","","3,617",""
"11/2022","246,697","","488","","1,705",""
"12/2022","558,654","","292","","1,687",""
"01/2023","500,500","","716","","1,961",""
"02/2023","551,646","","972","","1,608",""
"03/2023","667,000","","1,023","","1,573",""
"04/2023","804,600","","3,753","","2,487",""
"05/2023","900,500","","4,576","","5,184",""
"06/2023","928,117","","5,782","","6,902",""
"07/2023","851,400","","8,013","","8,483",""
"08/2023","728,500","","6,460","","8,217",""
"09/2023","667,000","","4,034","","6,858",""
"10/2023","552,100","","2,501","","5,255",""
"11/2023","483,200","","1,327","","2,887",""
"12/2023","465,081","","674","","2,370",""
"01/2024","537,800","","182","","1,975",""
"02/2024","601,800","","647","","1,808",""
"03/2024","707,516","","1,603","","2,125",""
"04/2024","848,900","","2,862","","3,011",""
"05/2024","937,970","","6,030","","5,827",""
"06/2024","863,416","","7,791","","7,619",""
"07/2024","626,100","","8,128","","8,880",""
"08/2024","506,100","","5,818","","8,356",""
"09/2024","460,200","","4,209","","7,440",""
"10/2024","400,500","","3,078","","5,993",""
"11/2024","332,127","","690","","3,427",""
"12/2024","353,900","","361","","2,226",""
"01/2025","358,985","","861","","2,143",""
"02/2025","633,700","","1,000","","2,767",""
"03/2025","816,632","","1,381","","2,258",""
"04/2025","901,639","","3,247","","3,416",""
"05/2025","915,271","","6,502","","6,320",""
"06/2025","836,700","","7,305","","7,468",""
"07/2025","574,799","","6,871","","6,534",""
"08/2025","475,565","","5,314","","7,308",""
"09/2025","443,200","","3,578","","6,267",""
"10/2025","421,473","","1,672","","4,095",""
"11/2025","455,875","","696","","2,561",""
"12/2025","545,695","","240","","2,138",""
"01/2026","570,582","","787","","2,420",""
"02/2026","644,000","","736","","2,223",""
"03/2026","817,355","","3,217","","3,474",""
"04/2026","--","","--","","--",""
